Quantity,Manufacturer Part Number,Customer Reference,Description,Qty per amp (stereo),Alternate MPN,Notes
20,IRFP150NPBF,"Q1,Q2 (gain + follower, both ch)",MOSFET N-ch 100V 42A TO-247AC,4,IRFP250NPBF; IXYS IRFP250,"12 used across 3 amps; order 20 to Vgs-sort into matched pairs (Phase A, dVgs<=25mV). 100V ample for 22V rail."
3,MJE15032G,Q_cm,BJT NPN 250V 8A TO-220 (cap-mult pass),1,BD243CG; KSC2073,"Output device of the Darlington pass pair. TO-220 heatsink ~5C/W. Drops ~1.6V total with Q_d."
3,BD139,Q_d,BJT NPN 80V 1.5A TO-126 (cap-mult driver),1,BD139-16 (ST); KSC2690AYS,"NEW rev4 (ECR-1): Darlington driver ahead of Q_cm. Composite beta ~5000 keeps the R_cm drop <0.2V. No heatsink needed."
3,KBPC3506-G,BR1,"Bridge rectifier 600V 35A, chassis",1,GBPC3506W-G,Bolts to chassis floor (its heatsink). Cap-mult cleans the ripple; Schottky optional (ECR-8).
12,MFR-25FBF52-47K,"R_in,Rb_top",Res 47k 1% 0.25W metal film axial,4,RNF14FTD47K0 (Stackpole),"Was qty 18 in rev3 - R_fb changed to 82k (ECR-2)."
6,MFR-25FBF52-82K,R_fb,Res 82k 1% 0.25W metal film axial,2,RNF14FTD82K0,"CHANGED rev4 (ECR-2): 47k -> 82k re-centres OUT_NODE at half rail for the IRFP150N's lower Vgs."
6,MFR-25FBF52-22K,Rb_bot (default),Res 22k 1% 0.25W metal film axial,2,RNF14FTD22K0,"CHANGED rev4 (ECR-2): 10k -> 22k, divider returned to OUT_NODE. Default value; select-on-test per Table 4.3."
6,MFR-25FBF52-18K,Rb_bot (select: low-Vgs pairs),Res 18k 1% 0.25W metal film axial,2,RNF14FTD18K0,"Bias-select kit (Table 4.3): stuff when measured Vgs(1.2A) < 3.2V. Cheap insurance - order with the mains BOM."
6,MFR-25FBF52-33K,Rb_bot (select: high-Vgs pairs),Res 33k 1% 0.25W metal film axial,2,RNF14FTD33K0,"Bias-select kit (Table 4.3): stuff when measured Vgs(1.2A) = 3.55-3.90V. (Rare >3.90V pairs need 39k = MFR-25FBF52-39K - order only if Phase A finds one.)"
6,MFR-25FBF52-220R,R_gs,Res 220R 1% 0.25W metal film axial,2,RNF14FTD220R,Q1 gate stopper.
