Quantity,Manufacturer Part Number,Customer Reference,Description,Qty per amp (stereo),Alternate MPN,Notes
8,PAD-1,BOARD,"Perfboard 0.1in grid, bare pads (BusBoard PAD-1 or similar)",3,Vector 8022; any 0.1in pad-per-hole FR4,"3 boards per amp (1 PSU + 2 channel) x 2 amps + 2 experimentation spares. VERIFY size at cart: need >=110x75mm usable per board (PAD-1 is 100x160mm - one per board, generous)."
2,SK 129 38.1 STS,HS-QCM,"Heatsink TO-220 extrusion, <=7 C/W (Fischer or similar)",1,Aavid/Boyd TO-220 extrusion <=7 C/W; or bolt Q_cm to chassis floor (insulated),"Q_cm dissipates ~5 W. NEVER on any earlier BOM - found in Phase B readiness audit. VERIFY MPN/rating at cart; any TO-220 extrusion <=7 C/W works. Skip if mounting Q_cm to the chassis floor."
20,3-520406-2,TERM-QC,"Quick-connect 0.187in (4.8mm) female, fully insulated, 18-22 AWG (TE FASTON)",6,Molex/Panduit 0.187in insulated females,"For the Qualtek IEC inlet tabs (it specifies 0.187in). VERIFY tab size + wire gauge at cart. Crimp with a proper ratchet crimper - no pliers on mains joints."
20,VERIFY-RING-M4,TERM-RING,"Ring lug M4 stud, 18-22 AWG, insulated",8,any M4/#8 crimp ring terminal,"Star-ground lug stack (Fig. 6) + chassis bonds + earth. Placeholder P/N - grab an assortment; quality matters more than brand."
1,VERIFY-BUSWIRE,WIRE-BUS,"Tinned copper bus wire ~0.8 mm / 20 AWG, 25 ft spool",-,Alpha Wire bare/tinned bus 20AWG,"GND spine + 1.4 A / 2.8 A power paths on all boards (Fig. 5/6 rules)."
1,VERIFY-HOOKUP,WIRE-KIT,"Stranded hookup wire kit: 18 AWG (power, red/black) + 22 AWG (signal) + green 18 AWG (earth)",-,Adafruit/BNTECHGO silicone kits are fine,"Power pairs get twisted ~3 turns/inch. Earth runs are green only - never reuse green for anything else."
1,VERIFY-HSHRINK,HSHRINK,"Heat-shrink assortment 2:1, incl. sizes for QC terminals and mains splices",-,any brand,"Every mains joint gets shrink - Phase B checklist item, not optional."
1,HW-STORE,DBT-BULB,"100 W INCANDESCENT bulb (rough-service / appliance / shop bulb) - NOT LED, NOT CFL",-,75-150 W incandescent also fine,"Dim-bulb tester element (Fig. 8). Filament bulbs still sold as rough-service/appliance bulbs. Buy 2 - they are also the fuse of the tester."
1,HW-STORE,DBT-HW,"Dim-bulb tester hardware: keyless lamp holder, metal handy box + cover, duplex outlet, 3-wire cord with plug",-,-,"Assemble per Fig. 8: bulb in series with LINE only; N and E straight through; box earthed."
1,HW-STORE,MECH-HW,"Machine screw kit: M3 x 12 + nuts/washers (TO-247 mounting), M4 x 12 + star washers (star gnd, PE bond, chassis), M3 standoffs 10 mm for boards",-,#4-40 / #8-32 equivalents fine,"Star washers on BOTH earth bolts are a safety requirement, not decoration."
1,HW-STORE,MECH-PLATE,"Aluminum plate ~300x250x2 mm (temporary chassis for Phase B solo test) OR the final chassis if already chosen",-,scrap aluminum sheet works,"Phase B needs metal to bolt the IEC earth, toroid, and bridge to. Final chassis selection is a Phase D decision (ECR-7 fit checks)."
1,HW-STORE,MECH-MISC,"Cable clamps / zip ties + adhesive mounts, rubber grommets",-,-,"Mains dressing rear-left per Fig. 7; strain relief on every mains run."
