Quantity,Manufacturer Part Number,Customer Reference,Description,Qty per amp (stereo),Alternate MPN,Notes
3,BD139,Q_d,BJT NPN 80V 1.5A TO-126 (cap-mult driver),1,BD139-16 (ST); KSC2690AYS,"NEW (ECR-1): Darlington driver ahead of Q_cm. Composite beta ~5000 keeps the R_cm drop <0.2V. No heatsink needed."
3,MFR-25FBF52-2K2,R_be,Res 2.2k 1% 0.25W metal film axial,1,RNF14FTD2K20,"NEW (ECR-1): Q_cm base-emitter bleed, clean turn-off for the Darlington pair."
3,1N5408,D_p,Diode 3A 1000V axial,1,1N5404,"NEW (ECR-1): reverse-clamps Q_cm at power-off while the reservoir discharges."
3,CL-60,RT1,NTC inrush limiter 10R 5A (Amphenol/Thermometrics),1,Ametherm SL22 10005,"NEW (ECR-1): 225VA toroid + 20mF reservoir needs inrush limiting; also protects F1 from nuisance blows."
6,FMP200JR-52-10R,R_z,Res 10R 2W metal film axial,2,FMP300JR-52-10R (3W),"NEW (ECR-2): Zobel series resistor - HF stability with any cable/speaker."
6,R82EC3100DQ70K,C_z,Cap 0.1uF 100V film PET radial (Kemet R82),2,R82EC3100DQ70J (5%),"NEW (ECR-2): Zobel shunt cap. This is qty IN ADDITION to the 6 already ordered on rev3 for C_rail_byp (same MPN)."
6,MFR-25FBF52-18K,Rb_bot (select: low-Vgs pairs),Res 18k 1% 0.25W metal film axial,2,RNF14FTD18K0,"NEW (ECR-2): bias-select kit, Table 4.3 - stuff when measured Vgs(1.2A) < 3.15V."
6,MFR-25FBF52-33K,Rb_bot (select: high-Vgs pairs),Res 33k 1% 0.25W metal film axial,2,RNF14FTD33K0,"NEW (ECR-2): bias-select kit, Table 4.3 - stuff when measured Vgs(1.2A) = 3.55-3.90V."
3,4880MG,INS2,TO-220 insulator kit: mica + bushing (Aavid),1,Bergquist SP400-0.007 + nylon bushing,"NEW (ECR-7): Q_cm is TO-220 - the rev3 4880SG mica is TO-247-sized. VERIFY this MPN at cart; any TO-220 mica+bushing kit works."
8,IRFP150NPBF,"Q1,Q2 sorting top-up",MOSFET N-ch 100V 42A TO-247AC,0,IRFP250NPBF; IXYS IRFP250,"TOP-UP: rev3 ordered 12 (exact count). Order 8 more so Phase A can Vgs-sort 20 into six pairs at dVgs<=25mV. Same date/lot code as the first 12 if possible."
1,TWW10J6R8E,TOOL R_j (Vgs jig),Res 6.8R 10W wirewound axial (Ohmite),0,Vishay HL06806E6R800JE00,"BENCH TOOL (one per bench, not per amp) - Fig. 4 matching jig."
2,HS50 8R J,TOOL R_dummy,Power resistor 8R 50W chassis-mount (Arcol),0,Ohmite TGHGVR050JE / any 8R >=50W,"BENCH TOOL - dummy loads for Phases B/E/F. Bolt to any scrap heatsink."
1,120-2,TOOL thermal compound,Thermal joint compound 2oz (Wakefield),0,Arctic MX-4; Dow 340,"BENCH consumable - thin film both sides of every mica washer."
